model,maze,maze_size,solved,total_steps,shortest_path_length,efficiency,step,row,col,position,move_taken
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,0,0,0,"(0, 0)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,1,0,1,"(0, 1)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,2,0,2,"(0, 2)",south
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,3,1,2,"(1, 2)",west
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,4,1,1,"(1, 1)",south
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,5,2,1,"(2, 1)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,6,2,2,"(2, 2)",south
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,7,3,2,"(3, 2)",west
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,8,3,1,"(3, 1)",south
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,9,4,1,"(4, 1)",west
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,10,4,0,"(4, 0)",south
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,11,5,0,"(5, 0)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,12,5,1,"(5, 1)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,13,5,2,"(5, 2)",north
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,14,4,2,"(4, 2)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,15,4,3,"(4, 3)",south
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,16,5,3,"(5, 3)",south
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,17,6,3,"(6, 3)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,18,6,4,"(6, 4)",north
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,19,5,4,"(5, 4)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,20,5,5,"(5, 5)",north
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,21,4,5,"(4, 5)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,22,4,6,"(4, 6)",north
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,23,3,6,"(3, 6)",north
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,24,2,6,"(2, 6)",west
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,25,2,5,"(2, 5)",west
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,26,2,4,"(2, 4)",north
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,27,1,4,"(1, 4)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,28,1,5,"(1, 5)",east
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,29,1,6,"(1, 6)",north
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,30,0,6,"(0, 6)",west
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,31,0,5,"(0, 5)",west
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,32,0,4,"(0, 4)",west
claude-sonnet-4-6,7x7-3,7,True,33,33,1.0,33,0,3,"(0, 3)",—
