model,maze,maze_size,solved,total_steps,shortest_path_length,efficiency,step,row,col,position,move_taken
deepseek-v3,6x6-3,6,False,216,30,0.0,0,0,0,"(0, 0)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,1,1,0,"(1, 0)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,2,1,1,"(1, 1)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,3,2,1,"(2, 1)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,4,2,2,"(2, 2)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,5,3,2,"(3, 2)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,6,3,1,"(3, 1)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,7,4,1,"(4, 1)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,8,4,0,"(4, 0)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,9,5,0,"(5, 0)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,10,5,1,"(5, 1)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,11,5,2,"(5, 2)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,12,4,2,"(4, 2)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,13,4,3,"(4, 3)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,14,3,3,"(3, 3)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,15,2,3,"(2, 3)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,16,1,3,"(1, 3)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,17,1,2,"(1, 2)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,18,0,2,"(0, 2)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,19,0,3,"(0, 3)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,20,0,4,"(0, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,21,0,5,"(0, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,22,1,5,"(1, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,23,1,4,"(1, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,24,2,4,"(2, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,25,3,4,"(3, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,26,4,4,"(4, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,27,4,5,"(4, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,28,3,5,"(3, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,29,2,5,"(2, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,30,3,5,"(3, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,31,4,5,"(4, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,32,4,4,"(4, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,33,3,4,"(3, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,34,2,4,"(2, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,35,1,4,"(1, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,36,1,5,"(1, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,37,0,5,"(0, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,38,0,4,"(0, 4)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,39,0,3,"(0, 3)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,40,0,4,"(0, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,41,0,5,"(0, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,42,1,5,"(1, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,43,1,4,"(1, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,44,2,4,"(2, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,45,3,4,"(3, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,46,4,4,"(4, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,47,4,5,"(4, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,48,3,5,"(3, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,49,2,5,"(2, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,50,3,5,"(3, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,51,4,5,"(4, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,52,4,4,"(4, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,53,3,4,"(3, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,54,2,4,"(2, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,55,1,4,"(1, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,56,1,5,"(1, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,57,0,5,"(0, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,58,0,4,"(0, 4)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,59,0,3,"(0, 3)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,60,0,4,"(0, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,61,0,5,"(0, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,62,1,5,"(1, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,63,1,4,"(1, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,64,2,4,"(2, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,65,3,4,"(3, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,66,4,4,"(4, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,67,4,5,"(4, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,68,3,5,"(3, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,69,2,5,"(2, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,70,3,5,"(3, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,71,4,5,"(4, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,72,4,4,"(4, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,73,3,4,"(3, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,74,2,4,"(2, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,75,1,4,"(1, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,76,1,5,"(1, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,77,0,5,"(0, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,78,0,4,"(0, 4)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,79,0,3,"(0, 3)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,80,0,4,"(0, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,81,0,5,"(0, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,82,1,5,"(1, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,83,1,4,"(1, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,84,2,4,"(2, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,85,3,4,"(3, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,86,4,4,"(4, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,87,4,5,"(4, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,88,3,5,"(3, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,89,2,5,"(2, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,90,3,5,"(3, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,91,4,5,"(4, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,92,4,4,"(4, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,93,3,4,"(3, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,94,2,4,"(2, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,95,1,4,"(1, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,96,1,5,"(1, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,97,0,5,"(0, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,98,0,4,"(0, 4)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,99,0,3,"(0, 3)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,100,0,4,"(0, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,101,0,5,"(0, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,102,1,5,"(1, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,103,1,4,"(1, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,104,2,4,"(2, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,105,3,4,"(3, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,106,4,4,"(4, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,107,4,5,"(4, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,108,3,5,"(3, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,109,2,5,"(2, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,110,3,5,"(3, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,111,4,5,"(4, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,112,4,4,"(4, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,113,3,4,"(3, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,114,2,4,"(2, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,115,1,4,"(1, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,116,1,5,"(1, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,117,0,5,"(0, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,118,0,4,"(0, 4)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,119,0,3,"(0, 3)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,120,0,4,"(0, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,121,0,5,"(0, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,122,1,5,"(1, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,123,1,4,"(1, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,124,2,4,"(2, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,125,3,4,"(3, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,126,4,4,"(4, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,127,4,5,"(4, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,128,3,5,"(3, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,129,2,5,"(2, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,130,3,5,"(3, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,131,4,5,"(4, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,132,4,4,"(4, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,133,3,4,"(3, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,134,2,4,"(2, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,135,1,4,"(1, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,136,1,5,"(1, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,137,0,5,"(0, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,138,0,4,"(0, 4)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,139,0,3,"(0, 3)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,140,0,4,"(0, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,141,0,5,"(0, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,142,1,5,"(1, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,143,1,4,"(1, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,144,2,4,"(2, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,145,3,4,"(3, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,146,4,4,"(4, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,147,4,5,"(4, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,148,3,5,"(3, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,149,2,5,"(2, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,150,3,5,"(3, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,151,4,5,"(4, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,152,4,4,"(4, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,153,3,4,"(3, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,154,2,4,"(2, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,155,1,4,"(1, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,156,1,5,"(1, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,157,0,5,"(0, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,158,0,4,"(0, 4)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,159,0,3,"(0, 3)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,160,0,4,"(0, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,161,0,5,"(0, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,162,1,5,"(1, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,163,1,4,"(1, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,164,2,4,"(2, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,165,3,4,"(3, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,166,4,4,"(4, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,167,4,5,"(4, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,168,3,5,"(3, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,169,2,5,"(2, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,170,3,5,"(3, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,171,4,5,"(4, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,172,4,4,"(4, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,173,3,4,"(3, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,174,2,4,"(2, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,175,1,4,"(1, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,176,1,5,"(1, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,177,0,5,"(0, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,178,0,4,"(0, 4)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,179,0,3,"(0, 3)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,180,0,4,"(0, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,181,0,5,"(0, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,182,1,5,"(1, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,183,1,4,"(1, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,184,2,4,"(2, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,185,3,4,"(3, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,186,4,4,"(4, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,187,4,5,"(4, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,188,3,5,"(3, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,189,2,5,"(2, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,190,3,5,"(3, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,191,4,5,"(4, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,192,4,4,"(4, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,193,3,4,"(3, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,194,2,4,"(2, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,195,1,4,"(1, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,196,1,5,"(1, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,197,0,5,"(0, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,198,0,4,"(0, 4)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,199,0,3,"(0, 3)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,200,0,4,"(0, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,201,0,5,"(0, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,202,1,5,"(1, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,203,1,4,"(1, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,204,2,4,"(2, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,205,3,4,"(3, 4)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,206,4,4,"(4, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,207,4,5,"(4, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,208,3,5,"(3, 5)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,209,2,5,"(2, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,210,3,5,"(3, 5)",south
deepseek-v3,6x6-3,6,False,216,30,0.0,211,4,5,"(4, 5)",west
deepseek-v3,6x6-3,6,False,216,30,0.0,212,4,4,"(4, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,213,3,4,"(3, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,214,2,4,"(2, 4)",north
deepseek-v3,6x6-3,6,False,216,30,0.0,215,1,4,"(1, 4)",east
deepseek-v3,6x6-3,6,False,216,30,0.0,216,1,5,"(1, 5)",—
