model,maze,maze_size,solved,total_steps,shortest_path_length,efficiency,step,row,col,position,move_taken
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,0,0,0,"(0, 0)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,1,0,1,"(0, 1)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,2,1,1,"(1, 1)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,3,1,0,"(1, 0)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,4,2,0,"(2, 0)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,5,2,1,"(2, 1)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,6,2,2,"(2, 2)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,7,1,2,"(1, 2)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,8,1,3,"(1, 3)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,9,2,3,"(2, 3)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,10,3,3,"(3, 3)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,11,3,2,"(3, 2)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,12,4,2,"(4, 2)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,13,4,1,"(4, 1)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,14,3,1,"(3, 1)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,15,3,0,"(3, 0)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,16,4,0,"(4, 0)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,17,5,0,"(5, 0)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,18,5,1,"(5, 1)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,19,6,1,"(6, 1)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,20,6,0,"(6, 0)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,21,7,0,"(7, 0)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,22,7,1,"(7, 1)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,23,7,2,"(7, 2)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,24,6,2,"(6, 2)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,25,5,2,"(5, 2)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,26,5,3,"(5, 3)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,27,5,4,"(5, 4)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,28,5,5,"(5, 5)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,29,5,6,"(5, 6)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,30,4,6,"(4, 6)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,31,4,7,"(4, 7)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,32,3,7,"(3, 7)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,33,2,7,"(2, 7)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,34,1,7,"(1, 7)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,35,0,7,"(0, 7)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,36,0,6,"(0, 6)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,37,1,6,"(1, 6)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,38,2,6,"(2, 6)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,39,2,5,"(2, 5)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,40,3,5,"(3, 5)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,41,3,6,"(3, 6)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,42,3,5,"(3, 5)",south
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,43,4,5,"(4, 5)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,44,4,4,"(4, 4)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,45,4,3,"(4, 3)",east
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,46,4,4,"(4, 4)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,47,3,4,"(3, 4)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,48,2,4,"(2, 4)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,49,1,4,"(1, 4)",north
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,50,0,4,"(0, 4)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,51,0,3,"(0, 3)",west
gemini-3-pro-preview,8x8-5,8,True,52,48,0.9231,52,0,2,"(0, 2)",—
