model,maze,maze_size,solved,total_steps,shortest_path_length,efficiency,step,row,col,position,move_taken
gpt-5.2,8x8-3,8,True,158,50,0.3165,0,0,0,"(0, 0)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,1,0,1,"(0, 1)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,2,0,2,"(0, 2)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,3,0,3,"(0, 3)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,4,0,4,"(0, 4)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,5,1,4,"(1, 4)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,6,1,3,"(1, 3)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,7,1,2,"(1, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,8,2,2,"(2, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,9,3,2,"(3, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,10,4,2,"(4, 2)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,11,4,1,"(4, 1)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,12,3,1,"(3, 1)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,13,3,0,"(3, 0)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,14,2,0,"(2, 0)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,15,1,0,"(1, 0)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,16,1,1,"(1, 1)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,17,2,1,"(2, 1)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,18,1,1,"(1, 1)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,19,1,0,"(1, 0)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,20,2,0,"(2, 0)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,21,3,0,"(3, 0)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,22,3,1,"(3, 1)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,23,4,1,"(4, 1)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,24,4,2,"(4, 2)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,25,3,2,"(3, 2)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,26,2,2,"(2, 2)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,27,1,2,"(1, 2)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,28,1,3,"(1, 3)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,29,1,4,"(1, 4)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,30,0,4,"(0, 4)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,31,0,3,"(0, 3)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,32,0,2,"(0, 2)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,33,0,1,"(0, 1)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,34,0,0,"(0, 0)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,35,0,1,"(0, 1)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,36,0,2,"(0, 2)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,37,0,3,"(0, 3)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,38,0,4,"(0, 4)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,39,1,4,"(1, 4)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,40,1,3,"(1, 3)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,41,1,2,"(1, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,42,2,2,"(2, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,43,3,2,"(3, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,44,4,2,"(4, 2)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,45,4,1,"(4, 1)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,46,3,1,"(3, 1)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,47,3,0,"(3, 0)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,48,4,0,"(4, 0)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,49,5,0,"(5, 0)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,50,5,1,"(5, 1)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,51,6,1,"(6, 1)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,52,7,1,"(7, 1)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,53,7,2,"(7, 2)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,54,6,2,"(6, 2)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,55,5,2,"(5, 2)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,56,5,3,"(5, 3)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,57,4,3,"(4, 3)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,58,3,3,"(3, 3)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,59,2,3,"(2, 3)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,60,2,4,"(2, 4)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,61,2,5,"(2, 5)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,62,3,5,"(3, 5)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,63,3,6,"(3, 6)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,64,4,6,"(4, 6)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,65,4,5,"(4, 5)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,66,4,4,"(4, 4)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,67,3,4,"(3, 4)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,68,4,4,"(4, 4)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,69,4,5,"(4, 5)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,70,4,6,"(4, 6)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,71,3,6,"(3, 6)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,72,3,5,"(3, 5)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,73,2,5,"(2, 5)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,74,2,4,"(2, 4)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,75,2,3,"(2, 3)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,76,3,3,"(3, 3)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,77,4,3,"(4, 3)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,78,5,3,"(5, 3)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,79,5,2,"(5, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,80,6,2,"(6, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,81,7,2,"(7, 2)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,82,7,1,"(7, 1)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,83,6,1,"(6, 1)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,84,5,1,"(5, 1)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,85,5,0,"(5, 0)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,86,4,0,"(4, 0)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,87,3,0,"(3, 0)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,88,3,1,"(3, 1)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,89,4,1,"(4, 1)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,90,4,2,"(4, 2)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,91,3,2,"(3, 2)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,92,2,2,"(2, 2)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,93,1,2,"(1, 2)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,94,1,3,"(1, 3)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,95,1,4,"(1, 4)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,96,0,4,"(0, 4)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,97,0,3,"(0, 3)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,98,0,2,"(0, 2)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,99,0,1,"(0, 1)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,100,0,0,"(0, 0)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,101,0,1,"(0, 1)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,102,0,2,"(0, 2)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,103,0,3,"(0, 3)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,104,0,4,"(0, 4)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,105,1,4,"(1, 4)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,106,1,3,"(1, 3)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,107,1,2,"(1, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,108,2,2,"(2, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,109,3,2,"(3, 2)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,110,4,2,"(4, 2)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,111,4,1,"(4, 1)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,112,3,1,"(3, 1)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,113,3,0,"(3, 0)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,114,2,0,"(2, 0)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,115,1,0,"(1, 0)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,116,1,1,"(1, 1)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,117,2,1,"(2, 1)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,118,1,1,"(1, 1)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,119,1,0,"(1, 0)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,120,2,0,"(2, 0)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,121,3,0,"(3, 0)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,122,4,0,"(4, 0)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,123,5,0,"(5, 0)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,124,5,1,"(5, 1)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,125,6,1,"(6, 1)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,126,7,1,"(7, 1)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,127,7,2,"(7, 2)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,128,6,2,"(6, 2)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,129,5,2,"(5, 2)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,130,5,3,"(5, 3)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,131,4,3,"(4, 3)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,132,3,3,"(3, 3)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,133,2,3,"(2, 3)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,134,2,4,"(2, 4)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,135,2,5,"(2, 5)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,136,3,5,"(3, 5)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,137,3,6,"(3, 6)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,138,4,6,"(4, 6)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,139,4,5,"(4, 5)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,140,4,4,"(4, 4)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,141,5,4,"(5, 4)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,142,6,4,"(6, 4)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,143,7,4,"(7, 4)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,144,7,5,"(7, 5)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,145,7,6,"(7, 6)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,146,6,6,"(6, 6)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,147,6,5,"(6, 5)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,148,5,5,"(5, 5)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,149,5,6,"(5, 6)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,150,5,7,"(5, 7)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,151,4,7,"(4, 7)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,152,3,7,"(3, 7)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,153,2,7,"(2, 7)",west
gpt-5.2,8x8-3,8,True,158,50,0.3165,154,2,6,"(2, 6)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,155,1,6,"(1, 6)",north
gpt-5.2,8x8-3,8,True,158,50,0.3165,156,0,6,"(0, 6)",east
gpt-5.2,8x8-3,8,True,158,50,0.3165,157,0,7,"(0, 7)",south
gpt-5.2,8x8-3,8,True,158,50,0.3165,158,1,7,"(1, 7)",—
