model,maze,maze_size,solved,total_steps,shortest_path_length,efficiency,step,row,col,position,move_taken
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,0,0,0,"(0, 0)",south
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,1,1,0,"(1, 0)",south
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,2,2,0,"(2, 0)",east
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,3,2,1,"(2, 1)",south
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,4,3,1,"(3, 1)",south
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,5,4,1,"(4, 1)",south
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,6,5,1,"(5, 1)",west
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,7,5,0,"(5, 0)",south
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,8,6,0,"(6, 0)",east
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,9,6,1,"(6, 1)",east
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,10,6,2,"(6, 2)",north
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,11,5,2,"(5, 2)",north
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,12,4,2,"(4, 2)",east
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,13,4,3,"(4, 3)",south
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,14,5,3,"(5, 3)",east
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,15,5,4,"(5, 4)",south
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,16,6,4,"(6, 4)",east
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,17,6,5,"(6, 5)",east
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,18,6,6,"(6, 6)",north
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,19,5,6,"(5, 6)",north
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,20,4,6,"(4, 6)",north
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,21,3,6,"(3, 6)",north
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,22,2,6,"(2, 6)",west
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,23,2,5,"(2, 5)",north
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,24,1,5,"(1, 5)",east
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,25,1,6,"(1, 6)",north
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,26,0,6,"(0, 6)",west
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,27,0,5,"(0, 5)",west
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,28,0,4,"(0, 4)",west
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,29,0,3,"(0, 3)",south
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,30,1,3,"(1, 3)",south
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,31,2,3,"(2, 3)",west
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,32,2,2,"(2, 2)",north
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,33,1,2,"(1, 2)",west
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,34,1,1,"(1, 1)",north
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,35,0,1,"(0, 1)",east
claude-sonnet-4-6,7x7-5,7,True,36,36,1.0,36,0,2,"(0, 2)",—
