model,maze,maze_size,solved,total_steps,shortest_path_length,efficiency,step,row,col,position,move_taken
deepseek-v3,8x8-5,8,True,50,48,0.96,0,0,0,"(0, 0)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,1,0,1,"(0, 1)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,2,1,1,"(1, 1)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,3,1,0,"(1, 0)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,4,2,0,"(2, 0)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,5,2,1,"(2, 1)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,6,2,2,"(2, 2)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,7,1,2,"(1, 2)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,8,1,3,"(1, 3)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,9,2,3,"(2, 3)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,10,3,3,"(3, 3)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,11,3,2,"(3, 2)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,12,4,2,"(4, 2)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,13,4,1,"(4, 1)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,14,3,1,"(3, 1)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,15,3,0,"(3, 0)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,16,4,0,"(4, 0)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,17,5,0,"(5, 0)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,18,5,1,"(5, 1)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,19,6,1,"(6, 1)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,20,6,0,"(6, 0)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,21,7,0,"(7, 0)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,22,7,1,"(7, 1)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,23,7,2,"(7, 2)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,24,6,2,"(6, 2)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,25,5,2,"(5, 2)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,26,5,3,"(5, 3)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,27,5,4,"(5, 4)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,28,5,5,"(5, 5)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,29,5,6,"(5, 6)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,30,4,6,"(4, 6)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,31,4,7,"(4, 7)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,32,3,7,"(3, 7)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,33,2,7,"(2, 7)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,34,1,7,"(1, 7)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,35,0,7,"(0, 7)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,36,0,6,"(0, 6)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,37,1,6,"(1, 6)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,38,2,6,"(2, 6)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,39,2,5,"(2, 5)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,40,3,5,"(3, 5)",east
deepseek-v3,8x8-5,8,True,50,48,0.96,41,3,6,"(3, 6)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,42,3,5,"(3, 5)",south
deepseek-v3,8x8-5,8,True,50,48,0.96,43,4,5,"(4, 5)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,44,4,4,"(4, 4)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,45,3,4,"(3, 4)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,46,2,4,"(2, 4)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,47,1,4,"(1, 4)",north
deepseek-v3,8x8-5,8,True,50,48,0.96,48,0,4,"(0, 4)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,49,0,3,"(0, 3)",west
deepseek-v3,8x8-5,8,True,50,48,0.96,50,0,2,"(0, 2)",—
