model,maze,maze_size,solved,total_steps,shortest_path_length,efficiency,step,row,col,position,move_taken
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,0,0,0,"(0, 0)",south
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,1,1,0,"(1, 0)",east
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,2,1,1,"(1, 1)",south
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,3,2,1,"(2, 1)",east
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,4,2,2,"(2, 2)",south
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,5,3,2,"(3, 2)",west
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,6,3,1,"(3, 1)",south
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,7,4,1,"(4, 1)",west
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,8,4,0,"(4, 0)",south
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,9,5,0,"(5, 0)",east
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,10,5,1,"(5, 1)",east
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,11,5,2,"(5, 2)",north
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,12,4,2,"(4, 2)",east
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,13,4,3,"(4, 3)",north
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,14,3,3,"(3, 3)",north
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,15,2,3,"(2, 3)",north
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,16,1,3,"(1, 3)",west
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,17,1,2,"(1, 2)",north
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,18,0,2,"(0, 2)",east
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,19,0,3,"(0, 3)",east
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,20,0,4,"(0, 4)",east
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,21,0,5,"(0, 5)",south
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,22,1,5,"(1, 5)",west
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,23,1,4,"(1, 4)",south
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,24,2,4,"(2, 4)",south
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,25,3,4,"(3, 4)",south
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,26,4,4,"(4, 4)",east
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,27,4,5,"(4, 5)",south
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,28,5,5,"(5, 5)",west
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,29,5,4,"(5, 4)",west
gemini-3-pro-preview,6x6-3,6,True,30,30,1.0,30,5,3,"(5, 3)",—
