model,maze,maze_size,solved,total_steps,shortest_path_length,efficiency,step,row,col,position,move_taken
gpt-5.2,7x7-2,7,False,294,33,0.0,0,0,0,"(0, 0)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,1,1,0,"(1, 0)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,2,2,0,"(2, 0)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,3,3,0,"(3, 0)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,4,3,1,"(3, 1)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,5,2,1,"(2, 1)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,6,2,2,"(2, 2)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,7,1,2,"(1, 2)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,8,1,3,"(1, 3)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,9,1,4,"(1, 4)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,10,1,5,"(1, 5)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,11,0,5,"(0, 5)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,12,1,5,"(1, 5)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,13,1,4,"(1, 4)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,14,1,5,"(1, 5)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,15,1,4,"(1, 4)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,16,1,3,"(1, 3)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,17,1,2,"(1, 2)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,18,2,2,"(2, 2)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,19,2,1,"(2, 1)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,20,3,1,"(3, 1)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,21,3,0,"(3, 0)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,22,3,1,"(3, 1)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,23,2,1,"(2, 1)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,24,2,2,"(2, 2)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,25,1,2,"(1, 2)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,26,1,3,"(1, 3)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,27,1,4,"(1, 4)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,28,1,5,"(1, 5)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,29,0,5,"(0, 5)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,30,1,5,"(1, 5)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,31,1,4,"(1, 4)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,32,1,3,"(1, 3)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,33,1,2,"(1, 2)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,34,2,2,"(2, 2)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,35,2,1,"(2, 1)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,36,3,1,"(3, 1)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,37,3,0,"(3, 0)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,38,2,0,"(2, 0)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,39,1,0,"(1, 0)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,40,0,0,"(0, 0)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,41,1,0,"(1, 0)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,42,2,0,"(2, 0)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,43,3,0,"(3, 0)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,44,3,1,"(3, 1)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,45,2,1,"(2, 1)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,46,2,2,"(2, 2)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,47,1,2,"(1, 2)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,48,1,3,"(1, 3)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,49,1,4,"(1, 4)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,50,1,5,"(1, 5)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,51,0,5,"(0, 5)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,52,0,6,"(0, 6)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,53,1,6,"(1, 6)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,54,2,6,"(2, 6)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,55,3,6,"(3, 6)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,56,3,5,"(3, 5)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,57,4,5,"(4, 5)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,58,4,4,"(4, 4)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,59,4,3,"(4, 3)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,60,4,2,"(4, 2)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,61,3,2,"(3, 2)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,62,3,3,"(3, 3)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,63,2,3,"(2, 3)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,64,2,4,"(2, 4)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,65,2,5,"(2, 5)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,66,2,4,"(2, 4)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,67,3,4,"(3, 4)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,68,2,4,"(2, 4)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,69,2,5,"(2, 5)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,70,2,4,"(2, 4)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,71,2,3,"(2, 3)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,72,3,3,"(3, 3)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,73,3,2,"(3, 2)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,74,4,2,"(4, 2)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,75,4,3,"(4, 3)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,76,4,4,"(4, 4)",east
gpt-5.2,7x7-2,7,False,294,33,0.0,77,4,5,"(4, 5)",north
gpt-5.2,7x7-2,7,False,294,33,0.0,78,3,5,"(3, 5)",south
gpt-5.2,7x7-2,7,False,294,33,0.0,79,4,5,"(4, 5)",west
gpt-5.2,7x7-2,7,False,294,33,0.0,80,4,4,"(4, 4)",west
